ein,org_name_display,org_addr_full,ntee_code_major_group,ntee_code_definition,geo_match_addr,geo_county,geo_lat,geo_lon
51-0415164,United Church Of Christ For All People,"2527 POOLE RD, RALEIGH, NC 27610-2819",Religion-Related,Protestant,"2527 Poole Rd, Raleigh, North Carolina, 27610",Wake County,35.7731563789021,-78.6007804099199
51-0415704,PTA North Carolina Congress,"123 MIDDLE CRK PARK AVE, APEX, NC 27539-7983",UNDEFINED,UNDEFINED,"123 Middle Creek Park Ave, Apex, North Carolina, 27539",Wake County,35.666694,-78.760737
51-0473665,Modern Woodmen Of America,"1003 TAWANA CT, KNIGHTDALE, NC 27545-7647",UNDEFINED,UNDEFINED,"1003 Tawana Ct, Knightdale, North Carolina, 27545",Wake County,35.7779807185643,-78.5189642346358
51-0481654,Uruguayan Childrens Foundation,"3128 CARTWRIGHT DR, RALEIGH, NC 27612-2113","International, Foreign Affairs and National Security",International Relief,"3128 Cartwright Dr, Raleigh, North Carolina, 27612",Wake County,35.863595473801,-78.6915225
51-0491208,United Spinal Association,"7980 CHAPEL HL RD, CARY, NC 27513-4648",Voluntary Health Associations and Medical Disciplines,"Nerve, Muscle and Bone Diseases","7980 Chapel Hill Rd, Cary, North Carolina, 27513",Wake County,35.7944600819145,-78.7663583216861
51-0525042,PTA North Carolina Congress,"3810 MERTON DR, RALEIGH, NC 27609-6651",UNDEFINED,UNDEFINED,"3810 Merton Dr, Raleigh, North Carolina, 27609",Wake County,35.8296025409142,-78.6328721405736
51-0549629,PTA North Carolina Congress,"8921 PIPPIN RD, ZEBULON, NC 27597-7860",UNDEFINED,UNDEFINED,"8921 Pippin Rd, Zebulon, North Carolina, 27597",Wake County,35.8548042512546,-78.333603094811
51-0564672,Community Apartments Corporation Of Haywood County,"353 E SIX FRKS RD STE 300, RALEIGH, NC 27609-7887",Housing and Shelter,Low-Income & Subsidized Rental Housing,"353 E Six Forks Rd, Ste 300, Raleigh, North Carolina, 27609",Wake County,35.82050995923,-78.6261324559987
51-0564674,Community Apartments Corporation Of Cabarrus County 2,"353 E SIX FRKS RD STE 300, RALEIGH, NC 27609-7887",Housing and Shelter,Low-Income & Subsidized Rental Housing,"353 E Six Forks Rd, Ste 300, Raleigh, North Carolina, 27609",Wake County,35.82050995923,-78.6261324559987
51-0564675,Community Apartments Corporation Of Of Metrolina 8,"353 E SIX FRKS RD STE 300, RALEIGH, NC 27609-7887",Housing and Shelter,Low-Income & Subsidized Rental Housing,"353 E Six Forks Rd, Ste 300, Raleigh, North Carolina, 27609",Wake County,35.82050995923,-78.6261324559987
51-0609857,Lakepark Swim Team,"1817 ALBACORE LN, RALEIGH, NC 27612-2344",Recreation and Sports,Swimming & Other Water Recreation,"1817 Albacore Ln, Raleigh, North Carolina, 27612",Wake County,35.8717486502685,-78.6767047224594
51-0617152,The International Coalition For Good Health And Good Friends,"300 BLACK BELT WORLD DR STE 101, KNIGHTDALE, NC 27545-6065",Human Services,"Children's, Youth Services","300 Black Belt World Dr, Ste 101, Knightdale, North Carolina, 27545",Wake County,35.7996265659299,-78.4880045473769
51-0675254,PTA North Carolina Congress Sycamore Creek Elementary School,"10921 LEESVILLE RD, RALEIGH, NC 27613-5914",UNDEFINED,UNDEFINED,"10921 Leesville Rd, Raleigh, North Carolina, 27613",Wake County,35.9194604639628,-78.7336085424721
52-0817941,Abc Television Affiliates Assoc Kcau Tv,"702 N PERSON ST, RALEIGH, NC 27604-1216",UNDEFINED,UNDEFINED,"702 N Person St, Raleigh, North Carolina, 27604",Wake County,35.7891159919499,-78.6343146146057
52-0853909,International Epidemiological Association,"3739 NATIONAL DR STE 202, RALEIGH, NC 27612-4844","International, Foreign Affairs and National Security","Professional Societies, Associations","3739 National Dr, Ste 202, Raleigh, North Carolina, 27612",Wake County,35.8351574027352,-78.6656122582091
52-1002050,American Conference Of Academic Deans,"14460 FLS OF NEUSE RD STE 149-279, RALEIGH, NC 27614-6643",Education,Higher Education Institutions,"14460 Falls of Neuse Rd, Ste 149, Raleigh, North Carolina, 27614",Wake County,35.943678,-78.543918
52-1020023,Grow Early Learning,"2301 SUGAR BUSH RD STE 400, RALEIGH, NC 27612-2957",UNDEFINED,UNDEFINED,"2301 Sugar Bush Rd, Ste 400, Raleigh, North Carolina, 27612",Wake County,35.8452639074967,-78.6751292754918
52-1200452,The Small Town Futures Institute,"2016 CAMERON ST, RALEIGH, NC 27605-1595",UNDEFINED,UNDEFINED,"2016 Cameron St, Raleigh, North Carolina, 27605",Wake County,35.790923845461,-78.661036293785
52-1200520,National Black Association For Speech Language Hearing,"701 EXPOSITION PL STE 206, RALEIGH, NC 27615-3359",UNDEFINED,UNDEFINED,"701 Exposition Pl, Ste 206, Raleigh, North Carolina, 27615",Wake County,35.8907618610129,-78.6284495411444
52-1253285,Employee Assistance Professional Association,"8808 BRACERIDGE RD, RALEIGH, NC 27613-5374",UNDEFINED,UNDEFINED,"8808 Braceridge Rd, Raleigh, North Carolina, 27613",Wake County,35.903038526776,-78.7073143587052
52-1254915,Independent Telephone Pioneer Club,"6121 RIV MDW CT, RALEIGH, NC 27604-6142",Mutual and Membership Benefit,Fraternal Societies,"6121 River Meadow Ct, Raleigh, North Carolina, 27604",Wake County,35.8451575026544,-78.5378666642912
52-1269869,Trout Un,"3318 HAMPTON RD, RALEIGH, NC 27607-3163",UNDEFINED,UNDEFINED,"3318 Hampton Rd, Raleigh, North Carolina, 27607",Wake County,35.8189070377689,-78.6806426996942
52-1275753,National Staff Organization,"5900 SPG GLN LN, RALEIGH, NC 27616-4646",UNDEFINED,UNDEFINED,"5900 Spring Glen Ln, Raleigh, North Carolina, 27616",Wake County,35.8553852664321,-78.5604934067459
52-1280593,National Society Of The Daughters Of The American Revolution,"400 NORTHWOODS DR, CARY, NC 27513-3827",UNDEFINED,UNDEFINED,"400 Northwoods Dr, Cary, North Carolina, 27513",Wake County,35.7980114826304,-78.7905945
52-1309281,National Organization For Women,"5911 MCCRIMMON PKWY APT 1217, MORRISVILLE, NC 27560-5936",UNDEFINED,UNDEFINED,"5911 McCrimmon Pkwy, Morrisville, North Carolina, 27560",Wake County,35.8388162056673,-78.8484966297499
52-1344643,American Society Of Appraisers,"4350 LASSITER AT N HLS AVE, RALEIGH, NC 27609-5743",UNDEFINED,UNDEFINED,"4350 Lassiter at North Hills Ave, Raleigh, North Carolina, 27609",Wake County,35.8375687662879,-78.6431876533556
52-1538494,Psi Chi The National Honor Society In Psychology,"3800 HILLSBOROUGH ST, RALEIGH, NC 27607-5237",UNDEFINED,UNDEFINED,"3800 Hillsborough St, Raleigh, North Carolina, 27607",Wake County,35.798292,-78.688836
52-1538571,Psi Chi The National Honor Society In Psychology,"640 POE HALL, RALEIGH, NC 27695-0001",UNDEFINED,UNDEFINED,"27695, Raleigh, North Carolina",Wake County,35.78551,-78.64267
52-1591141,Princeton Institute Of Youth Ministries,"6247 OLIVER CRK PKWY, HOLLY SPRINGS, NC 27540-9581",UNDEFINED,UNDEFINED,"6247 Oliver Creek Pkwy, Holly Springs, North Carolina, 27540",Wake County,35.6056927354725,-78.856999633216
52-1624454,Academy Of Rail Labor Attorneys,"11625 MIDLAVIAN DR, RALEIGH, NC 27614-6948",UNDEFINED,UNDEFINED,"11625 Midlavian Dr, Raleigh, North Carolina, 27614",Wake County,35.9321247643833,-78.5840154661549
52-1649790,American Trauma Society North Carolina Division,"3000 NEW BERN AVE, RALEIGH, NC 27610-1215",UNDEFINED,UNDEFINED,"3000 New Bern Ave, Raleigh, North Carolina, 27610",Wake County,35.7858691811134,-78.5893031077104
52-1667506,The United States Composting Council,"1053 E WHITAKER ML RD STE 115, RALEIGH, NC 27604-5305",UNDEFINED,UNDEFINED,"1053 E Whitaker Mill Rd, Ste 115, Raleigh, North Carolina, 27604",Wake County,35.8074459018689,-78.6217007182472
52-1707725,PTA North Carolina Congress,"3801 SPG FRST RD, RALEIGH, NC 27616-4605",UNDEFINED,UNDEFINED,"3801 Spring Forest Rd, Raleigh, North Carolina, 27616",Wake County,35.857845,-78.574815
52-1780164,National Organization Of Professional Black Natural,"6208 ROLES SADDLE DR, ROLESVILLE, NC 27571-9444",Education,Educational Services and Schools - Other,"6208 Roles Saddle Dr, Rolesville, North Carolina, 27571",Wake County,35.9346857216227,-78.4760991676094
52-1804051,Environmental Research And,"1000 SOCIAL ST STE 320, RALEIGH, NC 27609-2102",Environment,Research Institutes and/or Public Policy Analysis,"27609, Raleigh, North Carolina",Wake County,35.8368300000001,-78.613455
52-1907350,Fair Trade Federation,"11905 STRAIGHT A WAY LN, RALEIGH, NC 27613-7105",UNDEFINED,UNDEFINED,"11905 Straight a Way Ln, Raleigh, North Carolina, 27613",Wake County,35.9563016472387,-78.6999326562984
52-1911230,Christian Family Baptist Church,"507 KING RICHARD RD, RALEIGH, NC 27610-3744",UNDEFINED,UNDEFINED,"507 King Richard Rd, Raleigh, North Carolina, 27610",Wake County,35.7721295120895,-78.5905957210458
52-2084783,International Association Of Hospitality Accountants,"911 MARILYN DR, RALEIGH, NC 27607-3406",UNDEFINED,UNDEFINED,"911 Marilyn Dr, Raleigh, North Carolina, 27607",Wake County,35.8031048520688,-78.6890665714985
52-2113826,Hasna,"6013 REDDY CRK RD, RALEIGH, NC 27607-0000","International, Foreign Affairs and National Security",International Peace and Security,"6013 Reedy Creek Rd, Raleigh, North Carolina, 27607",Wake County,35.8286581909229,-78.7341561723986
52-2193249,Aoi Relief Fund,"8001 AERIAL CTR PKWY, MORRISVILLE, NC 27560-8417",UNDEFINED,UNDEFINED,"8001 Aerial Center Pkwy, Morrisville, North Carolina, 27560",Wake County,35.8563140460788,-78.8132305910906
52-2234212,Zoe Foundation,"5225 BANKS HVN CT, RALEIGH, NC 27603-8957",Animal-Related,Animal Protection and Welfare,"5225 Banks Haven Ct, Raleigh, North Carolina, 27603",Wake County,35.6329497715966,-78.7050619569223
52-2248348,Mickey Dale Family Foundation,"436 WATERVILLE ST, RALEIGH, NC 27603-2080","Philanthropy, Voluntarism and Grantmaking Foundations",Private Grantmaking Foundations,"436 Waterville St, Raleigh, North Carolina, 27603",Wake County,35.6741303058458,-78.6654249175373
52-2268911,Royal Priesthood Christian Ministries,"8611 ISLE WORTH CT APT 102, RALEIGH, NC 27617-7524",Religion-Related,Protestant,"8611 Isle Worth Ct, #102, Raleigh, North Carolina, 27617",Wake County,35.9053912304226,-78.7877025395579
52-2285554,Redeemed Christian Church Of God,"8470 GARVEY DR, RALEIGH, NC 27616-3175",Religion-Related,Protestant,"8470 Garvey Dr, Raleigh, North Carolina, 27616",Wake County,35.8960879819379,-78.5677104401583
52-2336254,Comunidad Cristiana Hosanna,"204 SHELDEN DR, RALEIGH, NC 27610-4632",Religion-Related,Christianity,"204 Shelden Dr, Raleigh, North Carolina, 27610",Wake County,35.7406356022565,-78.6368755339024
52-2374129,Second Chance Church Of Deliverance,"2621 S WILMINGTON ST, RALEIGH, NC 27603-2549",Religion-Related,Christianity,"2621 S Wilmington St, Raleigh, North Carolina, 27603",Wake County,35.7472002800221,-78.6443565150906
52-2398589,PTA Congress North Carolina,"100 LAWSON RDG RD, KNIGHTDALE, NC 27545-6713",UNDEFINED,UNDEFINED,"100 Lawson Ridge Rd, Knightdale, North Carolina, 27545",Wake County,35.8097910338738,-78.4806973857687
52-2438731,Pathway International,"6200 FLS OF NEUSE RD, RALEIGH, NC 27609-3563",Religion-Related,Protestant,"6200 Falls of Neuse Rd, Raleigh, North Carolina, 27609",Wake County,35.8675539034277,-78.620682271482
52-2451192,A Hand Up,"3013 VARCROFT RD, KNIGHTDALE, NC 27545-6817",Religion-Related,Christianity,"3013 Varcroft Rd, Knightdale, North Carolina, 27545",Wake County,35.770746405765,-78.4483674604707
52-2454832,Southeast Raleigh Vicinity Emerging,"1409 CROSS ST STE B2, RALEIGH, NC 27610-2517",Human Services,"Children's, Youth Services","1409 Cross St, Raleigh, North Carolina, 27610",Wake County,35.7794110355472,-78.6166361513937
52-6054279,Multi-Housing Laundry Association,"3739 NATIONAL DR STE 202, RALEIGH, NC 27612-4844",UNDEFINED,UNDEFINED,"3739 National Dr, Ste 202, Raleigh, North Carolina, 27612",Wake County,35.8351574027352,-78.6656122582091
52-6056681,Maryland-District Of Columbia- Delaware Broadcasters Association,"702 N PERSON ST, RALEIGH, NC 27604-1216",UNDEFINED,UNDEFINED,"702 N Person St, Raleigh, North Carolina, 27604",Wake County,35.7891159919499,-78.6343146146057
54-0678318,Retail Solutions Providers Association,"715 W JOHNSON ST STE 202, RALEIGH, NC 27603-1207",Community Improvement and Capacity Building,Chambers of Commerce & Business Leagues,"715 W Johnson St, Ste 202, Raleigh, North Carolina, 27603",Wake County,35.7873703596862,-78.6493023003058
54-1010582,Ruritan National,"1812 BASSLAKE RD, FUQUAYVARINA, NC 27526-0000",UNDEFINED,UNDEFINED,"1812 Bass Lake Rd, Fuquay Varina, North Carolina, 27526",Wake County,35.627908904784,-78.7841337572855
54-1327909,Southeastern States Pupil Transportation Conference,"102 ESCHER LN, CARY, NC 27511-4851",UNDEFINED,UNDEFINED,"102 Escher Ln, Cary, North Carolina, 27511",Wake County,35.7702692900341,-78.7494586132207
54-1483052,Visions International Arts Synergy,"309 LAKESIDE DR, GARNER, NC 27529-4210",UNDEFINED,UNDEFINED,"309 Lakeside Dr, Garner, North Carolina, 27529",Wake County,35.7008233919152,-78.6099702794738
54-1519650,Society For Neuroscience In Anesthesiology & Critical Care,"183 WIND CHIME CT STE 203, RALEIGH, NC 27615-6473",UNDEFINED,UNDEFINED,"183 Wind Chime Ct, Ste 203, Raleigh, North Carolina, 27615",Wake County,35.8755383245134,-78.642170980553
54-1532149,American Statistical Association,"1001 BRIDGEMILL WAY, CARY, NC 27519-2503",UNDEFINED,UNDEFINED,"1001 Bridgemill Way, Cary, North Carolina, 27519",Wake County,35.8067762669803,-78.9234166186737
54-1541451,Gujarati Samaj Of Virginia & North Carolina,"3930 MASSEY RUN, RALEIGH, NC 27616-9747",UNDEFINED,UNDEFINED,"3930 Massey Run, Raleigh, North Carolina, 27616",Wake County,35.8650101329276,-78.5235667944775
54-1543697,Sewn Products Equipment Suppliers Association,"3434 EDWARDS ML RD STE 112-158, RALEIGH, NC 27612-4276",UNDEFINED,UNDEFINED,"3434 Edwards Mill Rd, Ste 112-158, Raleigh, North Carolina, 27612",Wake County,35.8272700948989,-78.7037207340875
54-1617806,Ss United States Preservation Society,"10104 EARTHSTONE CT, RALEIGH, NC 27615-1447","Arts, Culture and Humanities","Historical Societies, Related Historical Activities","10104 Earthstone Ct, Raleigh, North Carolina, 27615",Wake County,35.9214456249931,-78.6705152254605
54-1627814,Composting Council Research And,"1053 E WHITAKER ML RD STE 115, RALEIGH, NC 27604-5305",UNDEFINED,UNDEFINED,"1053 E Whitaker Mill Rd, Ste 115, Raleigh, North Carolina, 27604",Wake County,35.8074459018689,-78.6217007182472
54-1789464,International Electronics Manufacturing Initiative,"3000 RDU CTR DR STE 220, MORRISVILLE, NC 27560-7643",UNDEFINED,UNDEFINED,"3000 Rdu Center Dr, Morrisville, North Carolina, 27560",Wake County,35.8497886713603,-78.7946285465115
54-1808958,Rome Foundation,"14460 FLS OF NEUSE RD STE 149-116, RALEIGH, NC 27614-6643",Medical Research,"Digestive Disease, Disorder Research","14460 Falls of Neuse Rd, Ste 149, Raleigh, North Carolina, 27614",Wake County,35.943678,-78.543918
54-1946363,John K Boardman Jr Foundation,"4108 BRIARHURST WAY, APEX, NC 27539-8184","Philanthropy, Voluntarism and Grantmaking Foundations",Fund Raising and Fund Distribution,"4108 Briarhurst Way, Apex, North Carolina, 27539",Wake County,35.6879270343934,-78.7921468398924
54-1948315,Toastmasters International,"11371 INVOLUTE PL APT 100, RALEIGH, NC 27617-8519",UNDEFINED,UNDEFINED,"11371 Involute Pl, Apt 100, Raleigh, North Carolina, 27617",Wake County,35.9217049999713,-78.7979435674877
54-2041939,Greater Union Comunity Church,"909 ROXY ST, RALEIGH, NC 27610-5664",UNDEFINED,UNDEFINED,"909 Roxy St, Raleigh, North Carolina, 27610",Wake County,35.7335525573315,-78.623086243407
54-2072168,Western Wake Tennis Association,"1249 KILDAIRE FARM RD 144, CARY, NC 27511-5523",Recreation and Sports,Racquet Sports,"1249 Kildaire Farm Rd, Cary, North Carolina, 27511",Wake County,35.762742,-78.7833914764276
54-2072917,Our Mothers Daughters Life Skills Center For Women,"4305 VIEWMONT DR, RALEIGH, NC 27610-5327",Human Services,Family Services,"4305 Viewmont Dr, Raleigh, North Carolina, 27610",Wake County,35.7411812364821,-78.5775027424261
54-2086880,Esteem Academy,"10116 KNOTTY PNE LN, RALEIGH, NC 27617-8218",Education,Educational Services and Schools - Other,"10116 Knotty Pine Ln, Raleigh, North Carolina, 27617",Wake County,35.8992326153269,-78.80517092879
54-2144844,Community Apartments Corporation Of Randolph County,"353 E SIX FRKS RD STE 300, RALEIGH, NC 27609-7887",Housing and Shelter,Low-Income & Subsidized Rental Housing,"353 E Six Forks Rd, Ste 300, Raleigh, North Carolina, 27609",Wake County,35.82050995923,-78.6261324559987
55-0789783,Enloe Eagle Athletic Booster Club,"128 CLARENDON CRES, RALEIGH, NC 27610-2408",Education,Single Organization Support,"128 Clarendon Cres, Raleigh, North Carolina, 27610",Wake County,35.7840822468685,-78.6057685462813
55-0792184,Cumberland University & Reformed Seminary,"1209 BUNGALOW PARK DR, APEX, NC 27502-8099",Education,"Graduate, Professional Schools (Separate Entities)","1209 Bungalow Park Dr, Apex, North Carolina, 27502",Wake County,35.7235734754457,-78.8832126058632
55-0798389,Dameron Foundation,"3336 WHITE OAK RD, RALEIGH, NC 27609-7619","Philanthropy, Voluntarism and Grantmaking Foundations",Corporate Foundations,"3336 White Oak Rd, Raleigh, North Carolina, 27609",Wake County,35.8222095770384,-78.6476978295633
55-0806254,Community Apartments Corporation Of Beaufort County,"353 E SIX FRKS RD STE 300, RALEIGH, NC 27609-7887",Housing and Shelter,Low-Income & Subsidized Rental Housing,"353 E Six Forks Rd, Ste 300, Raleigh, North Carolina, 27609",Wake County,35.82050995923,-78.6261324559987
55-0806284,Community Housing Corporation Of Rocky Mount 2,"353 E SIX FRKS RD STE 300, RALEIGH, NC 27609-7887",Mental Health and Crisis Intervention,Residential Mental Health Treatment,"353 E Six Forks Rd, Ste 300, Raleigh, North Carolina, 27609",Wake County,35.82050995923,-78.6261324559987
55-0806301,Community Apartments Corporation Of Rockingham County,"353 E SIX FRKS RD STE 300, RALEIGH, NC 27609-7887",Housing and Shelter,"Housing Development, Construction, Management","353 E Six Forks Rd, Ste 300, Raleigh, North Carolina, 27609",Wake County,35.82050995923,-78.6261324559987
55-0816064,Wakefield Ladies Golf Association,"7221 BARN OWL LN, RALEIGH, NC 27614-7693",Recreation and Sports,Golf,"7221 Barn Owl Ln, Raleigh, North Carolina, 27614",Wake County,35.9771355575913,-78.6648536737836
55-0816877,Rapture Ready Ministries,"1640 N MARKET DR, RALEIGH, NC 27609-2517",Religion-Related,Interfaith Coalitions,"1640 N Market Dr, Raleigh, North Carolina, 27609",Wake County,35.8399674293383,-78.6082966485081
55-0830600,Brazilian Association Of The Triangle-Abt,"915 CHURCH ST, MORRISVILLE, NC 27560-8728","Arts, Culture and Humanities","Cultural, Ethnic Awareness","915 Church St, Morrisville, North Carolina, 27560",Wake County,35.8507254354551,-78.8428666159324
55-0842047,PTA Nc Congress Holly Ridge Elementary Schhol Pta,"900 HOLLY SPGS RD, HOLLY SPRINGS, NC 27540-7370",Education,Parent/Teacher Group,"900 Holly Springs Rd, Holly Springs, North Carolina, 27540",Wake County,35.6560485407996,-78.8151646692829
55-0857691,Community Apartments Corporation Of Wilson County 3,"353 E SIX FRKS RD STE 300, RALEIGH, NC 27609-7887",Housing and Shelter,Low-Income & Subsidized Rental Housing,"353 E Six Forks Rd, Ste 300, Raleigh, North Carolina, 27609",Wake County,35.82050995923,-78.6261324559987
55-0869721,Goldston Family Foundation,"11305 DERBY LN, RALEIGH, NC 27613-6801","Philanthropy, Voluntarism and Grantmaking Foundations",Private Independent Foundations,"11305 Derby Ln, Raleigh, North Carolina, 27613",Wake County,35.9440781412375,-78.7042919874196
55-0869991,PTA North Carolina Congress,"6150 OLD JENKS RD, APEX, NC 27523-8242",UNDEFINED,UNDEFINED,"6150 Old Jenks Rd, Apex, North Carolina, 27523",Wake County,35.758287,-78.8490045
55-0870061,PTA North Carolina Congress,"6801 TURNER CRK RD, CARY, NC 27519-5664",UNDEFINED,UNDEFINED,"6801 Turner Creek Rd, Cary, North Carolina, 27519",Wake County,35.7734404903634,-78.8742133709093
55-0877615,PTA North Carolina Congress,"100 BRYAN CHALK LN, KNIGHTDALE, NC 27545-6712",UNDEFINED,UNDEFINED,"100 Bryan Chalk Ln, Knightdale, North Carolina, 27545",Wake County,35.8103653850189,-78.4748248813826
55-0884134,Shepherd Youth Ranch,"2816 ANDERSON DR, RALEIGH, NC 27608-1506",Human Services,Centers to Support the Independence of Specific Populations,"2816 Anderson Dr, Raleigh, North Carolina, 27608",Wake County,35.8191397210458,-78.6366358545503
